Id,IsDeleted,MasterRecordId,Name,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,BillingAddress,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,ShippingAddress,Phone,Fax,AccountNumber,Website,PhotoUrl,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Jigsaw,JigsawCompanyId,CleanStatus,AccountSource,DunsNumber,Tradestyle,NaicsCode,NaicsDesc,YearStarted,SicDesc,DandbCompanyId,OperatingHoursId,Username__c
0012100000lErCWAA0,,,Rachele Illian,Customer,,300 Spectrum Center Drive,Irvine,CA,92618,USA,,,,"{""city"":""Irvine"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""92618"",""state"":""CA"",""street"":""300 Spectrum Center Drive""}",300 Spectrum Center Drive,Irvine,CA,92618,USA,,,,"{""city"":""Irvine"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""92618"",""state"":""CA"",""street"":""300 Spectrum Center Drive""}",(555) 993-1362,,,,/services/images/photo/0012100000lErCWAA0,,,,,,,,,,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,,2019-11-16T23:51:42.000+0000,2019-11-16T23:51:42.000+0000,,,Pending,,,,,,,,,,rachele.illian
0012100000lErCXAA0,,,Nohemi Lesky,Customer,,14878 Lost River Court,Hughesville,MD,20637,USA,,,,"{""city"":""Hughesville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""20637"",""state"":""MD"",""street"":""14878 Lost River Court""}",14878 Lost River Court,Hughesville,MD,20637,USA,,,,"{""city"":""Hughesville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""20637"",""state"":""MD"",""street"":""14878 Lost River Court""}",(555) 182-8022,,,,/services/images/photo/0012100000lErCXAA0,,,,,,,,,,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,,2019-11-16T23:51:42.000+0000,2019-11-16T23:51:42.000+0000,,,Pending,,,,,,,,,,nohemi.lesky
0012100000lErCYAA0,,,Sergio Lampton,Customer,,4301 West Boy Scout Blvd,Tampa,FL,33607,USA,,,,"{""city"":""Tampa"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""33607"",""state"":""FL"",""street"":""4301 West Boy Scout Blvd""}",4301 West Boy Scout Blvd,Tampa,FL,33607,USA,,,,"{""city"":""Tampa"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""33607"",""state"":""FL"",""street"":""4301 West Boy Scout Blvd""}",(555) 212-1833,,,,/services/images/photo/0012100000lErCYAA0,,,,,,,,,,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,,2019-11-16T23:51:42.000+0000,2019-11-16T23:51:42.000+0000,,,Pending,,,,,,,,,,sergio.lampton
0012100000lErCZAA0,,,Saturnina Donaby,Customer,,818 Sparta Hwy,Milledgeville,GA,31061,USA,,,,"{""city"":""Milledgeville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""31061"",""state"":""GA"",""street"":""818 Sparta Hwy""}",818 Sparta Hwy,Milledgeville,GA,31061,USA,,,,"{""city"":""Milledgeville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""31061"",""state"":""GA"",""street"":""818 Sparta Hwy""}",(555) 586-7730,,,,/services/images/photo/0012100000lErCZAA0,,,,,,,,,,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,,2019-11-16T23:51:42.000+0000,2019-11-16T23:51:42.000+0000,,,Pending,,,,,,,,,,saturnina.donaby
0012100000lErCaAAK,,,Brain Morelock,Customer,,175 Dunlap Road,Craigmont,ID,83523,USA,,,,"{""city"":""Craigmont"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""83523"",""state"":""ID"",""street"":""175 Dunlap Road""}",175 Dunlap Road,Craigmont,ID,83523,USA,,,,"{""city"":""Craigmont"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""83523"",""state"":""ID"",""street"":""175 Dunlap Road""}",(555) 413-2217,,,,/services/images/photo/0012100000lErCaAAK,,,,,,,,,,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,,2019-11-16T23:51:42.000+0000,2019-11-16T23:51:42.000+0000,,,Pending,,,,,,,,,,brain.morelock
0012100000lErCbAAK,,,Stevie Sponaugle,Customer,,77820 Vineyard Canyon Road,San Miguel,CA,93451,USA,,,,"{""city"":""San Miguel"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""93451"",""state"":""CA"",""street"":""77820 Vineyard Canyon Road""}",77820 Vineyard Canyon Road,San Miguel,CA,93451,USA,,,,"{""city"":""San Miguel"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""93451"",""state"":""CA"",""street"":""77820 Vineyard Canyon Road""}",(555) 781-1132,,,,/services/images/photo/0012100000lErCbAAK,,,,,,,,,,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,,2019-11-16T23:51:42.000+0000,2019-11-16T23:51:42.000+0000,,,Pending,,,,,,,,,,stevie.sponaugle
0012100000lErCcAAK,,,Cristal Pokallas,Customer,,112 N El Rancho Rd,Santa Fe,NM,87501,USA,,,,"{""city"":""Santa Fe"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""87501"",""state"":""NM"",""street"":""112 N El Rancho Rd""}",112 N El Rancho Rd,Santa Fe,NM,87501,USA,,,,"{""city"":""Santa Fe"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""87501"",""state"":""NM"",""street"":""112 N El Rancho Rd""}",(555) 628-8811,,,,/services/images/photo/0012100000lErCcAAK,,,,,,,,,,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,,2019-11-16T23:51:42.000+0000,2019-11-16T23:51:42.000+0000,,,Pending,,,,,,,,,,cristal.pokallas
0012100000lErCdAAK,,,Bobbye Heisel,Customer,,7926 Droege Road,Decatur,IN,46733,USA,,,,"{""city"":""Decatur"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""46733"",""state"":""IN"",""street"":""7926 Droege Road""}",7926 Droege Road,Decatur,IN,46733,USA,,,,"{""city"":""Decatur"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""46733"",""state"":""IN"",""street"":""7926 Droege Road""}",(555) 912-4968,,,,/services/images/photo/0012100000lErCdAAK,,,,,,,,,,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,,2019-11-16T23:51:42.000+0000,2019-11-16T23:51:42.000+0000,,,Pending,,,,,,,,,,bobbye.heisel
0012100000lErCeAAK,,,Candida Caddick,Customer,,900 Bulldog Run,Rolla,MO,65401,USA,,,,"{""city"":""Rolla"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""65401"",""state"":""MO"",""street"":""900 Bulldog Run""}",900 Bulldog Run,Rolla,MO,65401,USA,,,,"{""city"":""Rolla"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""65401"",""state"":""MO"",""street"":""900 Bulldog Run""}",(555) 389-9936,,,,/services/images/photo/0012100000lErCeAAK,,,,,,,,,,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,,2019-11-16T23:51:42.000+0000,2019-11-16T23:51:42.000+0000,,,Pending,,,,,,,,,,candida.caddick
0012100000lErCfAAK,,,Onie Henshall,Customer,,541 SW Georgetown Way,Beaverton,OR,97006,USA,,,,"{""city"":""Beaverton"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""97006"",""state"":""OR"",""street"":""541 SW Georgetown Way""}",541 SW Georgetown Way,Beaverton,OR,97006,USA,,,,"{""city"":""Beaverton"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""97006"",""state"":""OR"",""street"":""541 SW Georgetown Way""}",(555) 609-6162,,,,/services/images/photo/0012100000lErCfAAK,,,,,,,,,,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,,2019-11-16T23:51:42.000+0000,2019-11-16T23:51:42.000+0000,,,Pending,,,,,,,,,,onie.henshall
0012100000lErCgAAK,,,Azzie Kravetsky,Customer,,818 Sparta Hwy,Milledgeville,GA,31061,USA,,,,"{""city"":""Milledgeville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""31061"",""state"":""GA"",""street"":""818 Sparta Hwy""}",818 Sparta Hwy,Milledgeville,GA,31061,USA,,,,"{""city"":""Milledgeville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""31061"",""state"":""GA"",""street"":""818 Sparta Hwy""}",(555) 861-9734,,,,/services/images/photo/0012100000lErCgAAK,,,,,,,,,,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,,2019-11-16T23:51:42.000+0000,2019-11-16T23:51:42.000+0000,,,Pending,,,,,,,,,,azzie.kravetsky
0012100000lErChAAK,,,Shanika Terr,Customer,,206 De Korra Ln,Wisconsin Dells,WI,53965,USA,,,,"{""city"":""Wisconsin Dells"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""53965"",""state"":""WI"",""street"":""206 De Korra Ln""}",206 De Korra Ln,Wisconsin Dells,WI,53965,USA,,,,"{""city"":""Wisconsin Dells"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""53965"",""state"":""WI"",""street"":""206 De Korra Ln""}",(555) 218-4928,,,,/services/images/photo/0012100000lErChAAK,,,,,,,,,,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,,2019-11-16T23:51:42.000+0000,2019-11-16T23:51:42.000+0000,,,Pending,,,,,,,,,,shanika.terr
0012100000lErCiAAK,,,Enda Boisjolie,Customer,,1541 E 4th St,Casper,WY,82601,USA,,,,"{""city"":""Casper"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""82601"",""state"":""WY"",""street"":""1541 E 4th St""}",1541 E 4th St,Casper,WY,82601,USA,,,,"{""city"":""Casper"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""82601"",""state"":""WY"",""street"":""1541 E 4th St""}",(555) 239-4128,,,,/services/images/photo/0012100000lErCiAAK,,,,,,,,,,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,,2019-11-16T23:51:42.000+0000,2019-11-16T23:51:42.000+0000,,,Pending,,,,,,,,,,enda.boisjolie
0012100000lErCjAAK,,,Diann Rubloff,Customer,,174 Unnamed Road,Youngstown,FL,32466,USA,,,,"{""city"":""Youngstown"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""32466"",""state"":""FL"",""street"":""174 Unnamed Road""}",174 Unnamed Road,Youngstown,FL,32466,USA,,,,"{""city"":""Youngstown"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""32466"",""state"":""FL"",""street"":""174 Unnamed Road""}",(555) 585-6597,,,,/services/images/photo/0012100000lErCjAAK,,,,,,,,,,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,,2019-11-16T23:51:42.000+0000,2019-11-16T23:51:42.000+0000,,,Pending,,,,,,,,,,diann.rubloff
0012100000lErCkAAK,,,Salena Noyes,Customer,,620 N Westmoreland Rd,DeSoto,TX,75115,USA,,,,"{""city"":""DeSoto"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""75115"",""state"":""TX"",""street"":""620 N Westmoreland Rd""}",620 N Westmoreland Rd,DeSoto,TX,75115,USA,,,,"{""city"":""DeSoto"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""75115"",""state"":""TX"",""street"":""620 N Westmoreland Rd""}",(555) 298-7526,,,,/services/images/photo/0012100000lErCkAAK,,,,,,,,,,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,,2019-11-16T23:51:42.000+0000,2019-11-16T23:51:42.000+0000,,,Pending,,,,,,,,,,salena.noyes
0012100000lErClAAK,,,Marcellus Favian,Customer,,12825 East Mirabeau Parkway,Spokane,WA,99216,USA,,,,"{""city"":""Spokane"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""99216"",""state"":""WA"",""street"":""12825 East Mirabeau Parkway""}",12825 East Mirabeau Parkway,Spokane,WA,99216,USA,,,,"{""city"":""Spokane"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""99216"",""state"":""WA"",""street"":""12825 East Mirabeau Parkway""}",(555) 298-8640,,,,/services/images/photo/0012100000lErClAAK,,,,,,,,,,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,,2019-11-16T23:51:42.000+0000,2019-11-16T23:51:42.000+0000,,,Pending,,,,,,,,,,marcellus.favian
0012100000lErCmAAK,,,Kirsten Cupp,Customer,,23 Browns Lake Road,Helmville,MT,59843,USA,,,,"{""city"":""Helmville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""59843"",""state"":""MT"",""street"":""23 Browns Lake Road""}",23 Browns Lake Road,Helmville,MT,59843,USA,,,,"{""city"":""Helmville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""59843"",""state"":""MT"",""street"":""23 Browns Lake Road""}",(555) 189-7256,,,,/services/images/photo/0012100000lErCmAAK,,,,,,,,,,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,,2019-11-16T23:51:42.000+0000,2019-11-16T23:51:42.000+0000,,,Pending,,,,,,,,,,kirsten.cupp
0012100000lErCnAAK,,,Lilia Haer,Customer,,4561 Springdale Rd,Millbrook,AL,36054,USA,,,,"{""city"":""Millbrook"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""36054"",""state"":""AL"",""street"":""4561 Springdale Rd""}",4561 Springdale Rd,Millbrook,AL,36054,USA,,,,"{""city"":""Millbrook"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""36054"",""state"":""AL"",""street"":""4561 Springdale Rd""}",(555) 382-7775,,,,/services/images/photo/0012100000lErCnAAK,,,,,,,,,,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,,2019-11-16T23:51:42.000+0000,2019-11-16T23:51:42.000+0000,,,Pending,,,,,,,,,,lilia.haer
