Id,IsDeleted,MasterRecordId,AccountId,LastName,FirstName,Salutation,Name,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,OtherLatitude,OtherLongitude,OtherGeocodeAccuracy,OtherAddress,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,MailingLatitude,MailingLongitude,MailingGeocodeAccuracy,MailingAddress,Phone,Fax,MobilePhone,HomePhone,OtherPhone,AssistantPhone,ReportsToId,Email,Title,Department,AssistantName,LeadSource,Birthdate,Description,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastCURequestDate,LastCUUpdateDate,LastViewedDate,LastReferencedDate,EmailBouncedReason,EmailBouncedDate,IsEmailBounced,PhotoUrl,Jigsaw,JigsawContactId,CleanStatus,IndividualId,Username__c
0032100000mcV9OAAU,,,0012100000lErCqAAK,Hagans,Jake,,Jake Hagans,12825 East Mirabeau Parkway,Spokane,WA,99216,USA,,,,"{""city"":""Spokane"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""99216"",""state"":""WA"",""street"":""12825 East Mirabeau Parkway""}",12825 East Mirabeau Parkway,Spokane,WA,99216,USA,,,,"{""city"":""Spokane"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""99216"",""state"":""WA"",""street"":""12825 East Mirabeau Parkway""}",(555) 921-7622,,(555) 677-9014,(555) 973-9581,,,,jake.hagans@example.com,,,,Phone Inquiry,1996-08-11,,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,,,,2019-11-16T23:51:42.000+0000,2019-11-16T23:51:42.000+0000,,,,/services/images/photo/0032100000mcV9OAAU,,,Pending,,jakehagans
0032100000mcVAHAA2,,,0012100000lErCvAAK,Karr,Reema,,Reema Karr,4766 E Whitmore Ave,Ceres,CA,95307,USA,,,,"{""city"":""Ceres"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""95307"",""state"":""CA"",""street"":""4766 E Whitmore Ave""}",4766 E Whitmore Ave,Ceres,CA,95307,USA,,,,"{""city"":""Ceres"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""95307"",""state"":""CA"",""street"":""4766 E Whitmore Ave""}",(555) 797-8695,,(555) 967-7779,(555) 845-4228,,,,reema.karr@example.com,,,,Web,1960-02-28,,00521000003HEFmAAO,2019-11-16T23:51:45.000+0000,00521000003HEFmAAO,2019-11-16T23:51:45.000+0000,00521000003HEFmAAO,2019-11-16T23:51:45.000+0000,,,,2019-11-16T23:51:45.000+0000,2019-11-16T23:51:45.000+0000,,,,/services/images/photo/0032100000mcVAHAA2,,,Pending,,reemakarr
0032100000mcV9dAAE,,,0012100000lErCCAA0,Knapp,Sabina,,Sabina Knapp,22655 Fairfield Rd,St Augusta,MN,56301,USA,,,,"{""city"":""St Augusta"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""56301"",""state"":""MN"",""street"":""22655 Fairfield Rd""}",22655 Fairfield Rd,St Augusta,MN,56301,USA,,,,"{""city"":""St Augusta"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""56301"",""state"":""MN"",""street"":""22655 Fairfield Rd""}",(555) 807-5245,,(555) 712-2011,(555) 320-1819,,,,sabina.knapp@example.com,,,,Phone Inquiry,1977-06-24,,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:43.000+0000,,,,2019-11-16T23:51:43.000+0000,2019-11-16T23:51:43.000+0000,,,,/services/images/photo/0032100000mcV9dAAE,,,Pending,,sabina.knapp
0032100000mcV9eAAE,,,0012100000lErCDAA0,Kaemingk,Annie,,Annie Kaemingk,87 Arizona 87,Coolidge,AZ,85128,USA,,,,"{""city"":""Coolidge"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""85128"",""state"":""AZ"",""street"":""87 Arizona 87""}",87 Arizona 87,Coolidge,AZ,85128,USA,,,,"{""city"":""Coolidge"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""85128"",""state"":""AZ"",""street"":""87 Arizona 87""}",(555) 385-8974,,(555) 557-8756,(555) 292-5929,,,,annie.kaemingk@example.com,,,,Other,2006-06-28,,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:43.000+0000,,,,2019-11-16T23:51:43.000+0000,2019-11-16T23:51:43.000+0000,,,,/services/images/photo/0032100000mcV9eAAE,,,Pending,,annie.kaemingk
0032100000mcV9fAAE,,,0012100000lErCEAA0,Peco,Emory,,Emory Peco,361 Centennial Parkway,Louisville,CO,80027,USA,,,,"{""city"":""Louisville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""80027"",""state"":""CO"",""street"":""361 Centennial Parkway""}",361 Centennial Parkway,Louisville,CO,80027,USA,,,,"{""city"":""Louisville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""80027"",""state"":""CO"",""street"":""361 Centennial Parkway""}",(555) 556-3903,,(555) 497-7083,(555) 396-7060,,,,emory.peco@example.com,,,,Phone Inquiry,1987-01-23,,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:43.000+0000,,,,2019-11-16T23:51:43.000+0000,2019-11-16T23:51:43.000+0000,,,,/services/images/photo/0032100000mcV9fAAE,,,Pending,,emory.peco
0032100000mcV9gAAE,,,0012100000lErCFAA0,Deley,Lilli,,Lilli Deley,112 N El Rancho Rd,Santa Fe,NM,87501,USA,,,,"{""city"":""Santa Fe"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""87501"",""state"":""NM"",""street"":""112 N El Rancho Rd""}",112 N El Rancho Rd,Santa Fe,NM,87501,USA,,,,"{""city"":""Santa Fe"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""87501"",""state"":""NM"",""street"":""112 N El Rancho Rd""}",(555) 628-5430,,(555) 627-9912,(555) 598-4795,,,,lilli.deley@example.com,,,,Phone Inquiry,2006-07-01,,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:43.000+0000,,,,2019-11-16T23:51:43.000+0000,2019-11-16T23:51:43.000+0000,,,,/services/images/photo/0032100000mcV9gAAE,,,Pending,,lilli.deley
0032100000mcV9hAAE,,,0012100000lErCGAA0,Tritch,Jamal,,Jamal Tritch,950 East Paces Ferry Road NE,Atlanta,GA,30326,USA,,,,"{""city"":""Atlanta"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""30326"",""state"":""GA"",""street"":""950 East Paces Ferry Road NE""}",950 East Paces Ferry Road NE,Atlanta,GA,30326,USA,,,,"{""city"":""Atlanta"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""30326"",""state"":""GA"",""street"":""950 East Paces Ferry Road NE""}",(555) 766-7565,,(555) 731-1460,(555) 240-4992,,,,jamal.tritch@example.com,,,,Web,1975-11-06,,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:43.000+0000,,,,2019-11-16T23:51:43.000+0000,2019-11-16T23:51:43.000+0000,,,,/services/images/photo/0032100000mcV9hAAE,,,Pending,,jamal.tritch
0032100000mcV9iAAE,,,0012100000lErCHAA0,Chiras,Nella,,Nella Chiras,500 Boylston Street,Boston,MA,02116,USA,,,,"{""city"":""Boston"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""02116"",""state"":""MA"",""street"":""500 Boylston Street""}",500 Boylston Street,Boston,MA,02116,USA,,,,"{""city"":""Boston"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""02116"",""state"":""MA"",""street"":""500 Boylston Street""}",(555) 764-9899,,(555) 235-9119,(555) 642-3158,,,,nella.chiras@example.com,,,,Phone Inquiry,1966-03-23,,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:43.000+0000,,,,2019-11-16T23:51:43.000+0000,2019-11-16T23:51:43.000+0000,,,,/services/images/photo/0032100000mcV9iAAE,,,Pending,,nella.chiras
0032100000mcV9jAAE,,,0012100000lErCIAA0,Merendino,Moshe,,Moshe Merendino,10105 Propps St NE,Albuquerque,NM,87112,USA,,,,"{""city"":""Albuquerque"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""87112"",""state"":""NM"",""street"":""10105 Propps St NE""}",10105 Propps St NE,Albuquerque,NM,87112,USA,,,,"{""city"":""Albuquerque"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""87112"",""state"":""NM"",""street"":""10105 Propps St NE""}",(555) 566-3407,,(555) 403-2117,(555) 787-6443,,,,moshe.merendino@example.com,,,,Web,1968-02-18,,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:43.000+0000,,,,2019-11-16T23:51:43.000+0000,2019-11-16T23:51:43.000+0000,,,,/services/images/photo/0032100000mcV9jAAE,,,Pending,,moshe.merendino
0032100000mcV9kAAE,,,0012100000lErCJAA0,Guillermo,Angle,,Angle Guillermo,145 County Road 88,Guffey,CO,80820,USA,,,,"{""city"":""Guffey"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""80820"",""state"":""CO"",""street"":""145 County Road 88""}",145 County Road 88,Guffey,CO,80820,USA,,,,"{""city"":""Guffey"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""80820"",""state"":""CO"",""street"":""145 County Road 88""}",(555) 248-4057,,(555) 512-3079,(555) 898-6433,,,,angle.guillermo@example.com,,,,Phone Inquiry,1955-12-17,,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:43.000+0000,,,,2019-11-16T23:51:43.000+0000,2019-11-16T23:51:43.000+0000,,,,/services/images/photo/0032100000mcV9kAAE,,,Pending,,angle.guillermo
0032100000mcV9lAAE,,,0012100000lErCKAA0,Abrell,Sadie,,Sadie Abrell,1335 Madison St NE,Salem,OR,97301,USA,,,,"{""city"":""Salem"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""97301"",""state"":""OR"",""street"":""1335 Madison St NE""}",1335 Madison St NE,Salem,OR,97301,USA,,,,"{""city"":""Salem"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""97301"",""state"":""OR"",""street"":""1335 Madison St NE""}",(555) 116-3549,,(555) 971-5036,(555) 539-5297,,,,sadie.abrell@example.com,,,,Web,1967-02-19,,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:43.000+0000,,,,2019-11-16T23:51:43.000+0000,2019-11-16T23:51:43.000+0000,,,,/services/images/photo/0032100000mcV9lAAE,,,Pending,,sadie.abrell
0032100000mcV9mAAE,,,0012100000lErCLAA0,Carnicelli,Sherron,,Sherron Carnicelli,7926 Droege Road,Decatur,IN,46733,USA,,,,"{""city"":""Decatur"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""46733"",""state"":""IN"",""street"":""7926 Droege Road""}",7926 Droege Road,Decatur,IN,46733,USA,,,,"{""city"":""Decatur"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""46733"",""state"":""IN"",""street"":""7926 Droege Road""}",(555) 810-9651,,(555) 986-9498,(555) 883-8932,,,,sherron.carnicelli@example.com,,,,Other,1945-11-14,,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:43.000+0000,,,,2019-11-16T23:51:43.000+0000,2019-11-16T23:51:43.000+0000,,,,/services/images/photo/0032100000mcV9mAAE,,,Pending,,sherron.carnicelli
0032100000mcV9nAAE,,,0012100000lErCMAA0,Siddons,Rich,,Rich Siddons,7139 Kilback Mountains,Antonito,CO,81120,USA,,,,"{""city"":""Antonito"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""81120"",""state"":""CO"",""street"":""7139 Kilback Mountains""}",7139 Kilback Mountains,Antonito,CO,81120,USA,,,,"{""city"":""Antonito"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""81120"",""state"":""CO"",""street"":""7139 Kilback Mountains""}",(555) 472-4185,,(555) 533-1274,(555) 810-2122,,,,rich.siddons@example.com,,,,Web,1998-07-03,,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:43.000+0000,,,,2019-11-16T23:51:43.000+0000,2019-11-16T23:51:43.000+0000,,,,/services/images/photo/0032100000mcV9nAAE,,,Pending,,rich.siddons
0032100000mcV9oAAE,,,0012100000lErCNAA0,Mcwherter,Darrel,,Darrel Mcwherter,620 N Westmoreland Rd,DeSoto,TX,75115,USA,,,,"{""city"":""DeSoto"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""75115"",""state"":""TX"",""street"":""620 N Westmoreland Rd""}",620 N Westmoreland Rd,DeSoto,TX,75115,USA,,,,"{""city"":""DeSoto"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""75115"",""state"":""TX"",""street"":""620 N Westmoreland Rd""}",(555) 585-7868,,(555) 432-9421,(555) 228-2519,,,,darrel.mcwherter@example.com,,,,Partner Referral,1988-10-17,,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:43.000+0000,,,,2019-11-16T23:51:43.000+0000,2019-11-16T23:51:43.000+0000,,,,/services/images/photo/0032100000mcV9oAAE,,,Pending,,darrel.mcwherter
0032100000mcV9pAAE,,,0012100000lErCOAA0,Abercrombie,Shaniqua,,Shaniqua Abercrombie,4301 West Boy Scout Blvd,Tampa,FL,33607,USA,,,,"{""city"":""Tampa"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""33607"",""state"":""FL"",""street"":""4301 West Boy Scout Blvd""}",4301 West Boy Scout Blvd,Tampa,FL,33607,USA,,,,"{""city"":""Tampa"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""33607"",""state"":""FL"",""street"":""4301 West Boy Scout Blvd""}",(555) 238-8610,,(555) 798-4782,(555) 424-9333,,,,shaniqua.abercrombie@example.com,,,,Partner Referral,1978-05-07,,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:43.000+0000,,,,2019-11-16T23:51:43.000+0000,2019-11-16T23:51:43.000+0000,,,,/services/images/photo/0032100000mcV9pAAE,,,Pending,,shaniqua.abercrombie
